record_number,pmid,doi,title,authors,journal,year,abstract,reviewer_1_decision,reviewer_1_reasoning,reviewer_2_decision,reviewer_2_reasoning,final_decision,arbiter_needed,arbiter_notes
22,6664,,Identifying biomarkers to predict treatment response to nabilone for agitation in AD,,,,Objective: To investigate the efficacy and safety of nabilone for agitation in patients with moderate-to-severe Alzheimer's disease (AD). Design: This 14-week randomized double-blind crossover trial compared nabilone to placebo (6 weeks each) with a 1-week washout between phases. Setting: Patients were recruited from a long-term care facility and geriatric psychiatry clinics. Participants: Patients had AD (standardized Mini-Mental State Examination [sMMSE ≤24]) and agitation (Neuropsychiatric In,MAP,pharma_rct_canadian; Post hoc analysis of RCT of nabilone (pharmacological) for AD-associated agitation (MH symptom); Canadian trial (Lanctot Krista L - Sunnybrook Toronto); published 2025,MAP,pharma_rct_canadian; Post hoc analysis of RCT of nabilone (pharmacological) for AD-associated agitation (MH symptom); Canadian trial (Lanctot Krista L - Sunnybrook Toronto); published 2025,EXCLUDE,Resolved,"QA-audited: downgraded from MAP to UNCERTAIN - post-hoc analysis, not primary RCT; Full-text screening: Post-hoc analysis of nabilone RCT (primary = PMID 31182351, Record #29)"
23,39862881,10.1016/s1474-4422(24)00456-3,"Intranasal oxytocin for apathy in people with frontotemporal dementia (FOXY): a multicentre, randomised, double-blind, placebo-controlled, adaptive, crossover, phase 2a/2b superiority trial.",Coleman Kristy K L; Berry Scott; Cummings Jeffrey; Hsiung Ging-Yuek R; Laforce Robert; Huey Edward; Ducharme Simon; Tartaglia Maria Carmela; Mendez Mario F; Onyike Chiadi; Domoto-Reilly Kimiko; Masellis Mario; Herrmann Nathan; Porsteinsson Anton; Detry Michelle A; Stewart Chloe; Bosse Anna L; McGlothlin Anna; Dias Bryan; Pandey Sachin; Mayich Michael; Pasternak Stephen H; Ruiz Garcia Ramiro; Restrepo-Martinez Miguel; Feldman Howard; Boxer Adam L; Finger Elizabeth C,The Lancet. Neurology,2025,"BACKGROUND: No treatments exist for apathy in people with frontotemporal dementia. Previously, in a randomised double-blind, placebo-controlled, dose-finding study, intranasal oxytocin administration in people with frontotemporal dementia improved apathy ratings on the Neuropsychiatric Inventory over 1 week and, in a randomised, double-blind, placebo-controlled, crossover study, a single dose of 72 IU oxytocin increased blood-oxygen-level-dependent signal in limbic brain regions. We aimed to det",MAP,dementia; Phase 2a/2b RCT; FTD/major neurocognitive disorder (DSM-5); pharma (oxytocin); Canadian multicentre trial; 2025; main results,MAP,"pharmacological RCT for FTD apathy in Canada; Phase 2a/2b RCT; FTD with apathy (DSM-5 neurocognitive disorder); intranasal oxytocin vs placebo (pharma); Canadian sites and PIs (Hsiung at UBC, Laforce, Bherer - multicentre Canadian-led); 2025; English. Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: FOXY RCT intranasal oxytocin for FTD apathy; Canadian multicentre trial; primary results 2025
24,34076068,10.1590/1516-4446-2020-1705,Low-dose ketamine does not improve the speed of recovery from depression in electroconvulsive therapy: a randomized controlled trial.,Woolsey A.J.; Nanji J.A.; Moreau C.; Sivapalan S.; Bourque S.L.; Ceccherini-Nelli A.; Gragasin F.S.,Brazilian Journal of Psychiatry,2022,Objective: Electroconvulsive therapy (ECT) is a well-established therapeutic intervention for major depressive disorder. Recent literature has shown that the anesthetic agent ketamine has some antidepressant properties at low doses and may be an alternative therapy for treatment-resistant major depressive disorder. We hypothesized that the use of low-dose ketamine as an anesthetic adjunct in ECT would more rapidly improve depression while maintaining hemodynamic stability than ECT with propofol ,MAP,depression; unanimous; Canadian RCT of low-dose ketamine adjunct to ECT for MDD; pharmacological; University of Alberta; published 2022; meets all inclusion criteria,MAP,meets_criteria; Canadian RCT; ketamine adjunct to ECT for MDD; primary results,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: RCT low-dose ketamine adjunct to ECT for MDD; ketamine tested for antidepressant augmentation (pharmacological hypothesis); fully Canadian (U Alberta); 2022
25,28185899,10.1016/s2215-0366(17)30046-9,"Lurasidone versus treatment as usual for cognitive impairment in euthymic patients with bipolar I disorder: a randomised, open-label, pilot study.",Yatham L.N.; Mackala S.; Basivireddy J.; Ahn S.; Walji N.; Hu C.; Lam R.W.; Torres I.J.,Lancet Psychiatry,2017,"Background Cognitive impairment is present in euthymic patients with bipolar disorder and correlates with impairments in everyday functioning. We aimed to examine the efficacy of lurasidone adjunctive therapy compared with treatment as usual (TAU) in improving cognition. Methods For this randomised, open-label, pilot study, we recruited patients aged 19–65 years with euthymic bipolar I disorder from the Mood Disorder Centre in UBC Hospital (Vancouver, Canada). We included patients who were takin",MAP,bipolar_mood; RCT of lurasidone for cognitive impairment in euthymic bipolar I; UBC Hospital Vancouver Canada; Yatham PI; published 2017; main trial (pilot) results,MAP,bipolar_mood; RCT of lurasidone for cognitive impairment in bipolar I. Yatham LN - UBC Hospital Vancouver. Canadian site. Published 2017. Pharma targets bipolar-related cognitive impairment. Meets all criteria.,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: RCT lurasidone for cognitive impairment in euthymic bipolar I; Canadian PI Yatham (UBC); QA confirmed
26,27284082,10.1192/bjp.bp.115.173930,Methylene blue treatment for residual symptoms of bipolar disorder: randomised crossover study.,Alda M.; McKinnon M.; Blagdon R.; Garnham J.; MacLellan S.; O'Donovan C.; Hajek T.; Nair C.; Dursun S.; MacQueen G.,British Journal of Psychiatry,2017,"Background Residual symptoms and cognitive impairment are among important sources of disability in patients with bipolar disorder. Methylene blue could improve such symptoms because of its potential neuroprotective effects. Aims We conducted a double-blind crossover study of a low dose (15 mg, 'placebo') and an active dose (195 mg) of methylene blue in patients with bipolar disorder treated with lamotrigine. Method Thirty-seven participants were enrolled in a 6-month trial (trial registration: N",MAP,bipolar_mood; RCT (crossover) of methylene blue for bipolar disorder residual symptoms; Canadian PIs (Alda at Dalhousie; MacQueen at Calgary); published 2017; main trial results,MAP,bipolar_mood; RCT (crossover) of methylene blue for bipolar disorder. Alda M - Dalhousie. Canadian. Published 2017. Meets all criteria.,INCLUDE,Resolved,"QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: Crossover RCT methylene blue for bipolar residual symptoms; Canadian (Alda Dalhousie, MacQueen); QA confirmed"
27,26460229,10.1038/mp.2015.158,Optimal duration of risperidone or olanzapine adjunctive therapy to mood stabilizer following remission of a manic episode: A CANMAT randomized double-blind trial.,Yatham L.N.; Beaulieu S.; Schaffer A.; Kauer-Sant'Anna M.; Kapczinski F.; Lafer B.; Sharma V.; Parikh S.V.; Daigneault A.; Qian H.; Bond D.J.; Silverstone P.H.; Walji N.; Milev R.; Baruch P.; Da Cunha A.; Quevedo J.; Dias R.; Kunz M.; Young L.T.; Lam R.W.; Wong H.,Molecular Psychiatry,2016,"Atypical antipsychotic adjunctive therapy to lithium or valproate is effective in treating acute mania. Although continuation of atypical antipsychotic adjunctive therapy after mania remission reduces relapse of mood episodes, the optimal duration is unknown. As many atypical antipsychotics cause weight gain and metabolic syndrome, they should not be continued unless the benefits outweigh the risks. This 52-week double-blind placebo-controlled trial recruited patients with bipolar I disorder (n=",MAP,bipolar_mood; CANMAT RCT of risperidone/olanzapine duration for bipolar I; Canadian multisite trial (CANMAT = Canadian Network); published 2016; main trial results,MAP,bipolar_mood; RCT of antipsychotic duration for bipolar I. CANMAT trial - multiple Canadian sites. Yatham LN. Published 2016. Meets all criteria.,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: CANMAT RCT risperidone/olanzapine duration bipolar I; multiple Canadian sites; QA confirmed
28,38359838,10.1016/j.medj.2024.01.005,Psilocybin-assisted psychotherapy for treatment resistant depression: A randomized clinical trial evaluating repeated doses of psilocybin.,Rosenblat Joshua D; Meshkat Shakila; Doyle Zoe; Kaczmarek Erica; Brudner Ryan M; Kratiuk Kevin; Mansur Rodrigo B; Schulz-Quach Christian; Sethi Rickinder; Abate Amanda; Ali Shaun; Bawks Jordan; Blainey Marc G; Brietzke Elisa; Cronin Victoria; Danilewitz Jessica; Dhawan Shalini; Di Fonzo Anthony; Di Fonzo Melissa; Drzadzewski Pawel; Dunlop William; Fiszter Hajnalka; Gomes Fabiano A; Grewal Smrita; Leon-Carlyle Marisa; McCallum Marilyn; Mofidi Niki; Offman Hilary; Riva-Cambrin Jeremy; Schmidt Joel; Smolkin Mark; Quinn Joan M; Zumrova Andrea; Marlborough Michelle; McIntyre Roger S,"Med (New York, N.Y.)",2024,"BACKGROUND: Psilocybin-assisted psychotherapy (PAP) has been associated with antidepressant effects. Trials to date have typically excluded participants with complex presentations. Our aim was to determine the feasibility of PAP in a complex population, including high levels of treatment resistance in major depressive and bipolar disorder and patients with baseline suicidality and significant comorbidity. We also evaluated flexible repeated doses over a 6-month period. METHODS: Adults with treat",MAP,depression; RCT of psilocybin-assisted psychotherapy for TRD; Canadian PI (Rosenblat at U Toronto); published 2024; main trial results,MAP,depression; RCT of psilocybin-assisted psychotherapy for TRD. Rosenblat JD - Toronto. Canadian site (NCT05029466). Published 2024. Meets all criteria.,INCLUDE,Resolved,Full-text screening: Confirmed: RCT psilocybin for TRD; Canadian PI Rosenblat (U of T); primary results 2024
29,31182351,10.1016/j.jagp.2019.05.002,Randomized Placebo-Controlled Trial of Nabilone for Agitation in Alzheimer's Disease.,Herrmann N.; Ruthirakuhan M.; Gallagher D.; Verhoeff N.P.L.G.; Kiss A.; Black S.E.; Lanctôt K.L.,American Journal of Geriatric Psychiatry,2019,Objective: To investigate the efficacy and safety of nabilone for agitation in patients with moderate-to-severe Alzheimer's disease (AD). Design: This 14-week randomized double-blind crossover trial compared nabilone to placebo (6 weeks each) with a 1-week washout between phases. Setting: Patients were recruited from a long-term care facility and geriatric psychiatry clinics. Participants: Patients had AD (standardized Mini-Mental State Examination [sMMSE ≤24]) and agitation (Neuropsychiatric In,MAP,dementia; RCT (crossover) of nabilone for agitation in AD; Canadian sites (Herrmann/Lanctot at Sunnybrook Toronto); published 2019; main trial results,MAP,"dementia; RCT of nabilone for agitation in AD. Herrmann N, Lanctot KL - Sunnybrook Toronto. Canadian site. Published 2019. Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: Crossover RCT nabilone for AD agitation; fully Canadian (Sunnybrook); primary results 2019
30,32068562,10.1097/jcp.0000000000001172,"Safety and Efficacy of Varenicline for Smoking Cessation in Alcohol-Dependent Smokers in Concurrent Treatment for Alcohol Use Disorder: A Pilot, Randomized Placebo-Controlled Trial.",Zawertailo L.; Ivanova A.; Ng G.; Le Foll B.; Selby P.,Journal of Clinical Psychopharmacology,2020,"Background Smoking prevalence among those with alcohol dependence is much higher than the general population. Despite this, cessation treatment in those with concurrent alcohol dependence is seldom undertaken. We conducted a randomized, placebo-controlled, double-blind pilot study, whereby patients enrolled at an addiction treatment facility in downtown Toronto, Canada, were recruited and assigned to placebo or varenicline treatment for 12 weeks. We hypothesized that varenicline would be a safe ",MAP,substance_use; Pilot RCT placebo-controlled; tobacco+alcohol use disorder (DSM-5); pharma (varenicline); Canadian site (CAMH Toronto); 2020; main results,MAP,"pharmacological_rct; Pilot RCT (randomized double-blind placebo-controlled); tobacco use disorder in comorbid alcohol dependence (both DSM-5 diagnoses); varenicline vs placebo (pharma targeting tobacco dependence); Canadian (Zawertailo, Le Foll, Selby - CAMH/University of Toronto); 2020; English. Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: RCT varenicline for smoking cessation in AUD; fully Canadian (CAMH); primary results 2020
31,30922101,10.1176/appi.ajp.2018.18070834,"Single, repeated, and maintenance ketamine infusions for treatment-resistant depression: A randomized controlled trial",Phillips J.L.; Norris S.; Talbot J.; Birmingham M.; Hatchard T.; Ortiz A.; Owoeye O.; Batten L.A.; Blier P.,American Journal of Psychiatry,2019,"Objective: Subanesthetic ketamine doses have been shown to have rapid yet transient antidepressant effects in patients with treatment-resistant depression, which may be prolonged by repeated administration. The purpose of this study was to evaluate the antidepressant effects of a single ketamine infusion, a series of repeated ketamine infusions, and prolongation of response with maintenance infusions. Methods: Forty-one participants with treatment-resistant depression completed a single-site ran",MAP,depression; RCT (crossover then open-label); ketamine for TRD; single Canadian site (Ottawa); Phillips/Blier are Canadian PIs; published 2019; main trial results,MAP,"depression; RCT of ketamine for TRD. Phillips JL, Blier P - Ottawa (Canadian). Single-site. Published 2019. Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: RCT ketamine infusions for TRD; Canadian site (Ottawa); primary results 2019
32,9449,,Substance of choice impact on treatment retention in a multicentre randomised controlled trial in Iran.,,,,"IntroductionIn the Middle East and Asia, illicit opioid use exists across a spectrum between heroin and opium. The impact of primary opioid of choice on opioid agonist treatment retention has not been well evaluated previously, especially for opium tincture, an increasingly popular form of opioid agonist treatment in Iran. This study investigates the relationship between primary opioid of choice, namely heroin or opium, and retention in opium tincture and methadone treatment.MethodsParticipants ",MAP,include_candidate; Canadian co-PI (Krausz - Vancouver); Iran-based opioid agonist treatment RCT. OUD is DSM-5 MH; opium tincture/methadone are pharma. But conducted in Iran not Canadian site,MAP,include_candidate; Canadian co-PI (Krausz - Vancouver); Iran-based opioid agonist treatment RCT. OUD is DSM-5 MH; opium tincture/methadone are pharma. But conducted in Iran not Canadian site,EXCLUDE,Resolved,"QA-audited: downgraded from MAP to UNCERTAIN - Iran-based trial, not Canadian; Full-text screening: Iran-based trial; Krausz (UBC) is co-author only, no Canadian site or PI leadership"
33,40936464,10.1192/bjo.2025.10823,"Sustained mood improvement with laughing gas exposure (SMILE): a randomised, placebo-controlled pilot trial of nitrous oxide for treatment-resistant depression.",Ladha Karim S; Lee Jiwon; Mattina Gabriella F; Pazmino-Canizares Janneth; Wijeysundera Duminda N; Nezhad Fatemeh Gholamali; Tassone Vanessa K; Adamsahib Fathima; Lou Wendy; Kennedy Sidney; Bhat Venkat,BJPsych open,2025,"BACKGROUND: Nitrous oxide may possess antidepressant effects; however, limited data exist on repeated administrations and active placebo-controlled studies in treatment-resistant depression (TRD). AIMS: We aimed to test the feasibility of a randomised controlled trial examining a 4-week course of nitrous oxide or midazolam, an active placebo. METHOD: In this randomised, active, placebo-controlled pilot trial, 40 participants with TRD were assigned either a 1-h inhalation of 50% nitrous oxide plu",MAP,MAP; Pilot RCT of nitrous oxide vs midazolam for treatment-resistant depression; Canadian (Toronto); diagnosed MDD/TRD; pharmacological intervention (nitrous oxide inhalation); 2025,MAP,MAP; Pilot RCT of nitrous oxide vs midazolam for treatment-resistant depression; Canadian (Toronto); diagnosed MDD/TRD; pharmacological intervention (nitrous oxide inhalation); 2025,INCLUDE,Resolved,single reviewer only; QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: SMILE pilot RCT nitrous oxide for TRD; Canadian (Toronto); QA confirmed; primary results 2025
34,27847352,10.2196/resprot.6350,The Effects of an E-Mental Health Program and Job Coaching on the Risk of Major Depression and Productivity in Canadian Male Workers: Protocol for a Randomized Controlled Trial.,"Wang J, Patten SB, Lam RW, Attridge M, Ho K, Schmitz N, Marchand A, Lashewicz BM.",,2016,"BackgroundMajor depression (MDE) is prevalent in men and affects men's health and productivity. Because of the stigma against depression and social/gender norms, men are less likely to seek help for emotion and stress-related issues. Therefore, innovative solutions tailored for men are needed. With rapid development of the Internet and information technologies, one promising solution that has drawn considerable attentions is electronic mental (e-mental) health programs and services.ObjectiveThe ",MAP,"potential-Canadian-RCT; E-mental health BroHealth for depression in Canadian male workers; Canadian RCT (Wang J, Patten SB - Calgary); protocol but tests pharma-equivalent (e-mental health) not pharmacotherapy",MAP,include_candidate; Canadian RCT (Wang/Patten - Calgary); BroHealth e-mental health program for at-risk men. However intervention is e-mental health program (non-pharma); prevention study in at-risk not diagnosed MDD,EXCLUDE,Resolved,"QA-audited: downgraded from MAP to UNCERTAIN - protocol without results, not primary RCT; Full-text screening: Protocol only; no primary results published; QA downgraded from MAP"
35,31965445,10.1007/s12519-019-00332-5,Therapeutic response in children with ADHD: role of observers and settings.,Bhat V.; Sengupta S.M.; Grizenko N.; Joober R.,World Journal of Pediatrics,2020,"Background: This study aims at characterizing the extent of correlation of treatment response (TR) obtained in various observation settings (home, school, clinic) by different observers (parents, teachers, clinicians). Methods: Children with attention deficit hyperactivity disorder (ADHD) underwent a 2-week double-blind, randomized, cross-over clinical trial with methylphenidate and placebo, and various measures were obtained during the 2 weeks. Interrelationships of TR were examined using Pears",MAP,include; Double-blind randomized crossover RCT of methylphenidate vs placebo in children with ADHD; Canadian (McGill); pharma for diagnosed MH,MAP,"pharmacological_rct; Double-blind randomized crossover RCT of methylphenidate vs placebo in children with ADHD; authors Joober/Grizenko (McGill/Douglas Institute, Montreal Canada); pharmacological (methylphenidate); diagnosed MH disorder (ADHD); Canadian PI; published 2020",EXCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Secondary analysis examining role of observers/settings; moderator analysis from parent methylphenidate crossover RCT; QA did confirm MAP but this examines methodology not primary outcomes
36,35120288,10.4088/jcp.21m14022,"Treating Insulin Resistance With Metformin as a Strategy to Improve Clinical Outcomes in Treatment-Resistant Bipolar Depression (the TRIO-BD Study): A Randomized, Quadruple-Masked, Placebo-Controlled Clinical Trial.",Cynthia V. Calkin; K. N. Roy Chengappa; Kathleen Cairns; Jacob Cookey; Jessica Gannon; Martin Alda; Claire O’Donovan; Claire Reardon; Marcos Sanches; Martina Růzicková,The Journal of Clinical Psychiatry,2022,"Objective: Therapeutic options are limited for treatment-resistant bipolar depression (TRBD). Insulin resistance (IR) confers increased risk for TRBD. We investigated metformin, an insulin sensitizer, to reverse IR and improve clinical outcomes in TRBD.Methods: Using a random-assignment (1:1), intent-to-treat, 2-site, quadruple-masked, parallel-group (metformin to 2,000 mg/d or placebo) clinical trial design, patients with DSM-5 bipolar disorder (BD) type I or II and IR received study medication",MAP,bipolar_mood; RCT of metformin for TRBD (targeting depression via insulin resistance reversal); 2-site trial; Canadian PI (Calkin at Dalhousie); published 2022; main trial results,MAP,"bipolar_mood; RCT of metformin to reverse insulin resistance and improve bipolar depression outcomes. Calkin CV, Alda M - Dalhousie, Halifax. 2-site Canadian. Published 2022. Pharma targets depression improvement. Meets all criteria.",INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: RCT metformin for insulin-resistant bipolar depression; Canadian (Calkin/Alda Dalhousie); QA confirmed
37,36855791,10.1177/07067437231156243,"A Collaborative-Care Telephone-Based Intervention for Depression, Anxiety, and at-Risk Drinking in Primary Care: The PARTNERs Randomized Clinical Trial.","Ishrat Husain M, Rodie DJ, Perivolaris A, Sanches M, Crawford A, Fitzgibbon KP, Levinson A, Geist R, Kurdyak P, Mitchell B, Oslin D, Sunderji N, Mulsant BH, PARTNERs Study Group.",Canadian Journal of Psychiatry,2023,"Background: Collaborative care (CC) could improve outcomes in primary care patients with common mental conditions. We assessed the effectiveness of a transdiagnostic model of telephone-based CC (tCC) delivered by lay providers to primary care patients with depression, anxiety, or at-risk drinking. Methods: PARTNERS was a pragmatic trial in 502 primary care adults presenting with depressive symptoms, anxiety symptoms, or at-risk drinking randomized to (1) usual care by primary care providers (PCP",MAP,"depression; flag,majority MAP; Canadian pragmatic RCT of telephone-based collaborative care for depression/anxiety/at-risk drinking in primary care; pharmacotherapy recommendations from psychiatrist were part of the intervention; published 2023; dissent: UNCERTAIN as intervention is primarily psychosocial",UNCERTAIN,complex_intervention; Canadian RCT; collaborative care telephone intervention for depression/anxiety in primary care; includes pharmacotherapy guidance but primarily a care model intervention,EXCLUDE,Resolved,"Full-text screening: Non-pharmacological intervention; PARTNRS is collaborative-care telephone model, not a specific drug"
38,29537978,10.1097/wnf.0000000000000275,A Randomized Trial of Oral and Transdermal Rivastigmine for Postural Instability in Parkinson Disease Dementia,McDonald J.; Pourcher E.; Nadeau A.; Corbeil P.,Clinical Neuropharmacology,2018,"Objectives The objective of this study was to compare the efficacy and safety of oral and transdermal rivastigmine for postural instability in patients with Parkinson disease dementia (PDD) who were candidates for a cholinesterase inhibitor. The primary outcome was the change in mean velocity of the center of pressure (CoP) after 6 months. Secondary outcomes included structural parameters of dynamic posturography, clinical rating scales, and adverse events requiring dose reduction. Methods Patie",MAP,dementia; Canadian RCT of oral vs transdermal rivastigmine for postural instability in Parkinson disease dementia; Pourcher/Nadeau/Corbeil (Quebec),OUT_OF_SCOPE,non_canadian; No Canadian site/PI identified,INCLUDE,Resolved,"QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: RCT rivastigmine for PD dementia; fully Canadian (Pourcher/Nadeau/Corbeil at Laval, Quebec); primary results 2018"
39,38404033,10.1177/10870547241226634,"A Randomized, Phase 3, Double-Blind, Crossover Comparison of Multilayer, Extended-Release Methylphenidate (PRC-063), and Lisdexamfetamine in the Driving Performance of Young Adults With ADHD.",Madaan Vishal; Bhaskar Sailaja; Donnelly Graeme A E; Cox Daniel J,Journal of attention disorders,2024,"OBJECTIVE: To compare PRC-063 (multilayer-release methylphenidate) and lisdexamfetamine dimesylate (LDX) on the driving performance of young adults with attention deficit hyperactivity disorder (ADHD) in a randomized, double-blind, crossover study. METHOD: Following up to 21 days of each treatment in each treatment course (PRC-063/LDX or LDX/PRC-063), subjects completed a 15-hour driving simulator laboratory assessment. The primary outcome measure was the Tactical Driving Quotient (TDQ) and the ",UNCERTAIN,RCT; pharmacological; ADHD; possibly Canadian; driving performance outcome; Phase 3 crossover RCT of PRC-063 vs LDX in ADHD; likely Canadian; driving performance focus,MAP,canadian_pharma_rct; Phase 3 RCT comparing methylphenidate (PRC-063) vs lisdexamfetamine in ADHD; pharmacological; likely Canadian (PRC-063 developed by Purdue/Canadian company); 2024,EXCLUDE,Resolved,Full-text screening: No Canadian site or PI; PRC-063 vs LDX driving study at single US site (U Virginia); sponsor Purdue Pharma Canada but funding alone insufficient
40,27536342,10.1177/2045125316643674,"A randomized, double-blind, cross-over, phase IV trial of oros-methylphenidate (CONCERTA(®)) and generic novo-methylphenidate ER-C (NOVO-generic).",Fallu A.; Dabouz F.; Furtado M.; Anand L.; Katzman M.A.,Therapeutic Advances in Psychopharmacology,2016,"Objective: Attention-deficit/hyperactivity disorder (ADHD) is a common neurobehavioral disorder with onset during childhood. Multiple aspects of a child’s development are hindered, in both home and school settings, with negative impacts on social, emotional, and cognitive functioning. If left untreated, ADHD is commonly associated with poor academic achievement and low occupational status, as well as increased risk of substance abuse and delinquency. The objective of this study was to evaluate a",MAP,adhd; unanimous,OUT_OF_SCOPE,non_canadian; No Canadian site/PI identified,INCLUDE,Resolved,"Full-text screening: RCT OROS-MPH vs generic MPH for ADHD; Canadian site confirmed (Katzman START Clinic Toronto, Fallu Montreal); primary results 2016"
41,37689680,10.1186/s13063-023-07543-2,A small clinical trial of vaporized cannabis for PTSD: suggestive results and directions for future study.,Walsh Zach; Mitchell Ian; Crosby Kim; St Pierre Michelle; DeClerck Drew; Ong Kaye; Lucas Philippe,Trials,2023,The last few decades have seen increasing interest in the use of cannabis for post-traumatic stress disorder (PTSD). Recent attempts to evaluate the clinical efficacy of cannabis for PTSD were inconclusive and generalizability was limited by undesirable features of the study drug. The present clinical trial evaluated the effects of a commercially available chemovar that was delivered by vaporization. The study was designed as a randomized placebo-controlled cross-over study with three conditions,MAP,"anxiety_trauma_ocd; flag,majority MAP; Canadian RCT (crossover) of vaporized cannabis for PTSD; pharmacological intervention; published 2023; very small (n=5 completed) but randomized placebo-controlled; meets inclusion criteria; dissent: UNCERTAIN due to very small sample",OUT_OF_SCOPE,no_pharma_mh; No pharmacotherapy targeting mental health,INCLUDE,Resolved,Full-text screening: Confirmed: RCT vaporized cannabis for PTSD; Canadian PI Walsh (UBC); primary results 2023
42,39144112,10.1093/schizbullopen/sgae004,"Add-on Sodium Benzoate and N-Acetylcysteine in Patients With Early Schizophrenia Spectrum Disorder: A Multicenter, Double-Blind, Randomized Placebo-Controlled Feasibility Trial.",Husain Muhammad Omair; Chaudhry Imran Bashir; Khoso Ameer B; Husain Muhammad Ishrat; Ansari Moin Ahmed; Mehmood Nasir; Naqvi Haider A; Nizami Asad Tamizuddin; Talib Uroosa; Rajput Aatir H; Bassett Paul; Foussias George; Deakin Bill; Husain Nusrat,Schizophrenia bulletin open,2024,"BACKGROUND AND HYPOTHESIS: Oxidative stress pathways may play a role in schizophrenia through direct neuropathic actions, microglial activation, inflammation, and by interfering with NMDA neurotransmission. N-acetylcysteine (NAC) has been shown to improve negative symptoms of schizophrenia, however, results from trials of other compounds targeting NMDA neurotransmission have been mixed. This may reflect poor target engagement but also that risk mechanisms act in parallel. Sodium Benzoate (NaB) c",UNCERTAIN,unclear Canadian involvement; RCT; pharmacological; schizophrenia; Feasibility RCT of NaB+NAC in schizophrenia; authors include Husain (Toronto); unclear if Canadian site,UNCERTAIN,possibly_canadian_pharma_rct; Multicenter RCT of NaB+NAC add-on in early schizophrenia; feasibility trial with results; need to verify if Canadian site involved,INCLUDE,Resolved,Full-text screening: Confirmed: RCT NaB+NAC for early schizophrenia; Canadian PI Husain MI (CAMH/U of T lead author); sites in Pakistan/UK; primary results 2024
43,38425284,10.1177/07067437241233965,"Adjunctive Brexpiprazole for Patient Life Engagement in Major Depressive Disorder: A Canadian, Phase 4, Open-Label, Interventional Study: Brexpiprazole d'appoint pour l'engagement dans la vie des patients souffrant de trouble dépressif majeur: une étude interventionnelle canadienne ouverte de phase 4.",François Therrien; Caroline Ward; Pratap Chokka; Jeffrey Habert; Zahinoor Ismail; Roger S. McIntyre; Erin M. MacKenzie,Canadian journal of psychiatry. Revue canadienne de psychiatrie,2024,"OBJECTIVES: To characterize the effects of adjunctive brexpiprazole on patient life engagement and depressive symptoms in patients with major depressive disorder (MDD) using patient-reported outcomes. METHODS: An 8-week, Phase 4, open-label, interventional study was conducted at 15 Canadian trial sites between April 2021 and May 2022. Adult outpatients with MDD (at least moderately severe) and inadequate response to 1-2 antidepressants continued their current antidepressant and received oral adj",UNCERTAIN,depression; Canadian phase 4 open-label study of brexpiprazole for MDD; pharmacological; Canadian sites; open-label without randomization so may not meet RCT criterion,UNCERTAIN,open_label; Canadian Phase 4 open-label interventional study (15 sites); pharma targeting MDD; no randomized control arm,EXCLUDE,Resolved,Full-text screening: Not an RCT; open-label study without randomized control arm
