batch,id,title,decision,category
17,37162700,Combining exercise with cognitive training and vitamin D3 to improve functional brain connectivity (FBC) in older adults with mild cognitive impairment (MCI). Results from the SYNERGIC trial.,UNCERTAIN,possible_MAP
18,26691428,Sex differences in subjective and objective responses to a stimulant medication (methylphenidate): Comparisons between overweight/obese adults with and without binge-eating disorder,UNCERTAIN,uncertain_Canadian
18,27474961,Lisdexamfetamine dimesylate augmentation for adults with major depressive disorder and inadequate response to antidepressant monotherapy: Results from 2 phase 3 multicenter randomized double-blind placebo-controlled studies,UNCERTAIN,uncertain_Canadian
18,34825444,Correction of depression-associated circadian rhythm abnormalities is associated with lithium response in bipolar disorder,UNCERTAIN,uncertain_primary_results
18,38948238,Neuroanatomical dimensions in medication-free individuals with major depressive disorder and treatment response to SSRI antidepressant medications or placebo,UNCERTAIN,uncertain_Canadian
19,26895080,An integrated analysis of the efficacy and safety of desvenlafaxine in the treatment of major depressive disorder.,UNCERTAIN,UNCERTAIN
19,28664541,Placebo response and its determinants in children with ADHD across multiple observers and settings: A randomized clinical trial.,UNCERTAIN,UNCERTAIN
19,30790597,"Combining CDP-choline and galantamine, an optimized α7 nicotinic strategy, to ameliorate sensory gating to speech stimuli in schizophrenia.",UNCERTAIN,UNCERTAIN
19,32036277,An investigation of cortical thickness and antidepressant response in major depressive disorder: A CAN-BIND study report.,MAP,MAP
19,34052828,A double-blind placebo-controlled trial of minocycline on translocator protein distribution volume in treatment-resistant major depressive disorder.,MAP,MAP
19,36322113,Brief App-Based Cognitive Behavioral Therapy for Anxiety Symptoms in Psychiatric Inpatients: Feasibility Randomized Controlled Trial.,UNCERTAIN,UNCERTAIN
19,36579458,Proof-of-concept randomized controlled trial of single-session nitrous oxide treatment for refractory bipolar depression: Focus on cerebrovascular target engagement.,UNCERTAIN,UNCERTAIN
19,37920963,Cannabidiol as an Adjunctive Treatment for Acute Bipolar Depression: A Pilot Study,UNCERTAIN,UNCERTAIN
19,39636638,Psilocybin Therapy for Clinicians With Symptoms of Depression From Frontline Care During the COVID-19 Pandemic: A Randomized Clinical Trial.,UNCERTAIN,UNCERTAIN
20,10.1093/schizbullopen/sgac006,ENHANCE: Phase 3 Randomized Double-Blind Placebo-Controlled Study of Adjunctive Pimavanserin for Schizophrenia,UNCERTAIN,uncertain Canadian involvement
20,10.1177/00221678211023663,Scaling Up: Multisite Open-Label Clinical Trials of MDMA-Assisted Therapy for Severe Posttraumatic Stress Disorder,UNCERTAIN,uncertain Canadian involvement
20,27676420,A 52-Week Study of Olanzapine with a Randomized Behavioral Weight Counseling Intervention in Adolescents with Schizophrenia or Bipolar I Disorder,UNCERTAIN,uncertain Canadian involvement
20,29879606,Effect of agomelatine 25-50 mg on functional outcomes in patients with major depressive disorder,UNCERTAIN,uncertain Canadian involvement
20,30709746,Citalopram in first episode schizophrenia: The DECIFER trial,UNCERTAIN,uncertain Canadian involvement
20,32644833,Effects of Extended-Release Methylphenidate Treatment on Cognitive Task Performance in Children with ASD and ADHD,UNCERTAIN,uncertain Canadian involvement
20,35220140,Impact of lemborexant treatment on insomnia severity: analyses from a 12-month study of adults with insomnia disorder,UNCERTAIN,uncertain Canadian involvement and insomnia DSM-5 status
20,35332134,No increase in inflammation in late-life major depression screened to exclude physical illness,UNCERTAIN,uncertain Canadian involvement
20,39862881,Intranasal oxytocin for apathy in people with frontotemporal dementia (FOXY): a multicentre randomised double-blind placebo-controlled adaptive crossover phase 2a/2b superiority trial,MAP,pharmacological RCT for FTD apathy in Canada
21,28706563,Quality of life in children and adolescents with bipolar I depression treated with olanzapine/fluoxetine combination.,UNCERTAIN,uncertain
21,30685701,Low-dose augmentation with buprenorphine increases emotional reactivity but not reward activity in treatment resistant mid- and late-life depression.,UNCERTAIN,uncertain
21,30920339,Combining CDP-choline and galantamine: Effects of a selective alpha7 nicotinic acetylcholine receptor agonist strategy on P50 sensory gating of speech sounds in healthy volunteers.,UNCERTAIN,uncertain
21,31610033,Effects of Oxytocin Administration on Cue-Induced Craving in Co-occurring Alcohol Use Disorder and PTSD: A Within-Participant Randomized Clinical Trial.,UNCERTAIN,uncertain
21,32603956,Leptin mediates improvements in cognitive function following treatment with infliximab in adults with bipolar depression.,UNCERTAIN,uncertain
21,34045983,Intermittent Theta-Burst Stimulation Transcranial Magnetic Stimulation Increases GABA in the Medial Prefrontal Cortex: A Preliminary Sham-Controlled Magnetic Resonance Spectroscopy Study in Acute Bipolar Depression.,UNCERTAIN,uncertain
21,34174474,Repetitive transcranial magnetic stimulation for cognitive function in adults with bipolar disorder: A pilot study.,UNCERTAIN,uncertain
21,35135986,Cannabidiol Effect on Anxiety Symptoms and Stress Response in Individuals With Cocaine Use Disorder: Exploratory Results From a Randomized Controlled Trial.,UNCERTAIN,uncertain
21,36377525,Changes in insulin resistance following antidepressant treatment mediate response in major depressive disorder.,UNCERTAIN,possible MAP - pharmacological trial for MDD with potential Canadian involvement
21,row_3104,The effects of extended-release stimulant medication on sleep in children with ADHD.,UNCERTAIN,uncertain
22,10.1177/2045125318762365,Amisulpride augmentation of clozapine for treatment-refractory schizophrenia: A double-blind placebo-controlled trial.,UNCERTAIN,uncertain
22,26736036,Sedation mediates part of Citaloprams effect on agitation in Alzheimers disease.,UNCERTAIN,uncertain
22,28414583,Improved Depressive Symptoms in Adults with Schizophrenia During a Smoking Cessation Attempt with Varenicline and Behavioral Therapy.,UNCERTAIN,secondary_analysis
22,30051166,DRD3 Gene and ADHD: A Pharmaco-Behavioural Genetic Study.,UNCERTAIN,uncertain
22,31916473,Efficacy and Safety of PRC-063 Extended-Release Multilayer Methylphenidate in Adults with ADHD Including 6-Month Open-Label Extension.,UNCERTAIN,uncertain
22,32068562,Safety and Efficacy of Varenicline for Smoking Cessation in Alcohol-Dependent Smokers in Concurrent Treatment for Alcohol Use Disorder.,MAP,pharmacological_rct
22,33090921,Efficacy and Safety of Multilayer Extended-Release Methylphenidate (PRC-063) in Children 6-12 Years of Age with ADHD: A Laboratory Classroom Study.,UNCERTAIN,uncertain
22,33296798,Effects of infliximab on brain neurochemistry of adults with bipolar depression.,UNCERTAIN,uncertain
22,37291464,Micronutrients for ADHD in youth (MADDY) study: comparison of results from RCT and open label extension.,UNCERTAIN,uncertain
22,37768659,Developing an Electroencephalography-Based Model for Predicting Response to Antidepressant Medication.,UNCERTAIN,uncertain
22,38461645,Clinical efficacy of adjunctive esketamine anesthesia in electroconvulsive therapy for major depressive disorders: A pragmatic randomized controlled trial.,UNCERTAIN,no_canadian_involvement
